PMID,Title,Year,Intervention,Cancer Type,Epigenetic Marker,Journal
41299324,"Could GSTP1, PTEN and NKX3.1 gene expression be novel markers in the relationship between prostate cancer and epigenetics?",2025,Nutritional,Prostate,Unspecified,BMC cancer
41108343,"Nutrition, Environment, and Genetics in Colorectal Cancer. Epigenetics and Possible Future Perspective.",2025,Nutritional,Colorectal,Unspecified,Current nutrition reports
40975498,A Systematic Review of Food-Derived DNA Methyltransferase Modulators: Mechanistic Insights and Perspectives for Healthy Aging.,2025,Nutritional,General/Unspecified,DNA Methylation,"Advances in nutrition (Bethesda, Md.)"
40900385,Application of Mendelian randomization in the discovery of risk factors for cancer from 2014 to 2024: a bibliometric review.,2025,Other,General/Unspecified,Unspecified,Discover oncology
40897307,Bibliometric and visualization analysis of cancer associated with intestinal flora through genetics and epigenetics from 1991 to 2024.,2025,Other,General/Unspecified,DNA Methylation,Chinese clinical oncology
40869316,Vitamin D as an Epigenetic Regulator: A Hypothetical Mechanism for Cancer Prevention via Inhibition of Oncogenic lncRNA HOTAIR.,2025,Nutritional,General/Unspecified,Unspecified,International journal of molecular sciences
40805232,The Exposome Perspective: Environmental and Infectious Agents as Drivers of Cancer Disparities in Low- and Middle-Income Countries.,2025,Nutritional,General/Unspecified,Unspecified,Cancers
40760406,Cancer-specific Regulation of Metabolic and Epigenetic Pathways by Dietary Phytochemicals.,2025,Nutritional,General/Unspecified,Unspecified,Pharmaceutical research
40663150,Epi-nutrients for cancer prevention: Molecular mechanisms and emerging insights.,2025,Nutritional,General/Unspecified,DNA Methylation,Cell biology and toxicology
40647494,"Ultra-Processed Diets and Endocrine Disruption, Explanation of Missing Link in Rising Cancer Incidence Among Young Adults.",2025,Nutritional,Liver,Unspecified,Cancers
40545531,The role of physical activity and epigenetic changes in colorectal cancer prevention.,2025,Behavioural,Colorectal,DNA Methylation,Cancer cell international
40183455,The Role of Medicinal Plants in Modulating Epigenetic Mechanisms: Implications for Cancer Prevention and Therapy.,2025,Environmental,Breast,DNA Methylation,Phytotherapy research : PTR
40062208,Application of Metabolomics in Carcinogenesis and Cancer Prevention by Dietary Phytochemicals.,2025,Nutritional,General/Unspecified,Unspecified,Current pharmacology reports
39998355,A possible role for epigenetics in cancer initiation.,2025,Other,General/Unspecified,Unspecified,Comptes rendus biologies
39991103,Epigenetic and biogenetic regulation by polyphenols in prostate cancer in the context of 3P medicine.,2025,Screening,Prostate,miRNA,The EPMA journal
39946195,Inhibition of histone methyltransferase EZH2 for immune interception of colorectal cancer in Lynch syndrome.,2025,Other,Colorectal,DNA Methylation,JCI insight
39595564,The Pivotal Role of One-Carbon Metabolism in Neoplastic Progression During the Aging Process.,2024,Other,General/Unspecified,DNA Methylation,Biomolecules
39537414,[Mechanisms and perspectives of B vitamins associated one carbon metabolism on colorectal cancer risk].,2024,Nutritional,Colorectal,Unspecified,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]
39435289,Aronia melanocarpa L. fruit peels show anti-cancer effects in preclinical models of breast carcinoma: The perspectives in the chemoprevention and therapy modulation.,2024,Other,Breast,Unspecified,Frontiers in oncology
39415281,"Epigenetic frontiers: miRNAs, long non-coding RNAs and nanomaterials are pioneering to cancer therapy.",2024,Screening,General/Unspecified,DNA Methylation,Epigenetics & chromatin
39369836,The role of short-chain fatty acids in cancer prevention and cancer treatment.,2024,Other,General/Unspecified,Histone Modification,Archives of biochemistry and biophysics
39334932,Deciphering the Potentials of Cardamom in Cancer Prevention and Therapy: From Kitchen to Clinic.,2024,Environmental,General/Unspecified,Unspecified,Biomolecules
39312452,Epigenetics of Dietary Phytochemicals in Cancer Prevention: Fact or Fiction.,2024,Nutritional,Colorectal,DNA Methylation,"Cancer journal (Sudbury, Mass.)"
39057032,Translation of Epigenetics in Cell-Free DNA Liquid Biopsy Technology and Precision Oncology.,2024,Screening,General/Unspecified,DNA Methylation,Current issues in molecular biology
38972997,MicroRNAs and the Mediterranean diet: a nutri-omics perspective for lung cancer.,2024,Nutritional,Lung,miRNA,Journal of translational medicine
38596245,Phytocompounds targeting epigenetic modulations: an assessment in cancer.,2023,Other,General/Unspecified,DNA Methylation,Frontiers in pharmacology
38474826,Epigenetic Effects of Resveratrol on Oncogenic Signaling in Breast Cancer.,2024,Nutritional,Breast,DNA Methylation,Nutrients
38417241,Rubus Occidentalis and its bioactive compounds against cancer: From molecular mechanisms to translational advances.,2024,Other,General/Unspecified,Unspecified,Phytomedicine : international journal of phytotherapy and phytopharmacology
38337680,Histone Acyl Code in Precision Oncology: Mechanistic Insights from Dietary and Metabolic Factors.,2024,Nutritional,General/Unspecified,DNA Methylation,Nutrients
